imdbID,languages
11657662,English
10101702,English
6341832,French
10925852,English
9701940,English
8521876,English
8521876,Spanish
14641648,English
14858054,English
11271800,English
13648228,English
13323118,Spanish
11131464,English
11649338,English
5562070,English
9731682,English
7270808,Italian
7270808,German
7270808,French
13722764,English
10230994,English
10230994,Greek
12708658,French
12708658,Mandarin
12708658,English
10265034,English
13429362,English
2304637,English
8110246,English
12572040,English
10451914,English
10451914,Ukrainian
10451914,Russian
10339052,English
13544716,Japanese
13729220,Indonesian
8434110,Croatian
8434110,English
8434110,Spanish
4733624,English
10406596,English
1800393,English
11918288,English
10521144,English
13057626,Japanese
15040634,English
4061620,English
4983780,Tamil
3885422,English
10841088,English
11284502,English
11284502,Spanish
13491110,Hindi
6925902,Spanish
6925902,English
13141936,English
12528166,English
10896634,English
11826450,English
8231668,English
11559472,English
10280296,Hindi
10280296,English
10280296,Russian
9242528,English
10096842,English
12636872,English
12838766,Korean
12838766,English
12838766,Spanish
12838766,Danish
12838766,French
12838766,German
12838766,Russian
12838766,Chinese
12838766,Arabic
12838766,Filipino
12838766,Mandarin
11012066,English
12358104,Spanish
10341040,English
13424422,Japanese
13424422,English
10332588,English
10332588,Hawaiian
10332588,Spanish
6571548,Hindi
6571548,English
6432466,English
11314148,Hindi
12877640,Italian
12877640,English
5624466,English
10738536,French
11165716,English
995854,English
10037014,English
10957044,English
7897330,English
9154818,English
8482584,English
9741180,English
4136456,English
1697800,English
10738906,Welsh
10761694,Hindi
13507778,English
7541720,English
7541720,Mandarin
10187208,English
10360104,English
13382698,English
10300570,Tamil
12861508,English
9598214,English
6704894,English
12870980,English
14324650,English
13316722,Korean
13316722,English
9701942,English
11847606,English
15132736,English
14168118,Portuguese
14168118,Korean
14168118,Spanish
14168118,English
14168118,French
14168118,Haitian
14547524,English
15119668,Chinese
13363828,English
15005868,English
14867006,English
6852526,English
12808182,French
12808182,English
12808182,Russian
8521718,Italian
8521718,German
8521718,English
14452368,Tamil
7737640,English
8635092,English
15850662,Thai
11087960,French
11084896,English
8689290,English
7975192,English
7975192,Spanish
7975192,Korean
13392012,English
11186952,English
14757296,English
14757296,French
8435002,English
11388416,English
8338076,English
10295212,Hindi
15090124,None
13648212,Albanian
9765564,English
9173154,English
11285280,English
12496706,French
14538850,English
14757872,Korean
13432484,Persian
13432484,English
13432484,Italian
8241000,English
10944596,English
11742798,English
13372794,English
7014378,French
11771006,English
11771006,French
11771006,Portuguese
11700260,Spanish
12226872,English
11881160,English
11881160,Afrikaans
10895576,Hindi
6733874,English
11188560,Danish
11377298,English
11650226,English
7026666,Malayalam
7026666,Hindi
7026666,Kannada
7026666,Tamil
7026666,Telugu
9845564,Spanish
15655276,Italian
9308390,Danish
9308390,Swedish
9308390,Norwegian
9308390,English
9308390,German
9308390,French
8456190,English
12361178,Malayalam
11807888,Spanish
11807888,French
10381014,English
10703978,English
10665108,English
10676012,English
11027830,Hindi
11953248,Kannada
13309978,English
12982370,English
11737466,English
13804084,English
14217100,Flemish
14217100,Dutch
13097336,English
1587420,English
1587420,Min Nan
1587420,Japanese
3696180,English
2458948,Japanese
13450470,German
15393650,Finnish
9844938,Japanese
9844938,Filipino
9714030,German
9714030,English
9714030,French
11388278,English
5932368,English
9141588,Spanish
9141588,Greek
9141588,English
9141588,Catalan
9141588,Arabic
14296268,Thai
13834480,English
11892916,Italian
13502758,French
14164234,Japanese
9314984,English
15198608,German
9898844,English
14449392,English
10309902,Hindi
3006472,Malay
3006472,Arabic
3006472,English
14216488,Arabic
13671954,Malayalam
13834006,French
13834006,Spanish
14640242,English
13694706,English
13079150,French
14315756,English
11991748,Japanese
10832274,English
5344054,English
13846414,German
15109082,Irish Gaelic
16345484,Mandarin
16345484,Cantonese
7937254,English
8740898,English
14700948,French
13273728,English
12847812,French
12847812,German
9320140,English
9320140,Greek
9320140,German
9320140,Italian
15000314,Chinese
13070602,English
14402926,English
14632158,English
13322120,English
13322120,Spanish
8773094,English
13510660,Hindi
7325622,English
10505316,French
14810692,Korean
14713814,Cantonese
10307724,French
14781176,Korean
9531772,Hindi
11867884,English
11773378,Telugu
11773378,Tamil
11809034,Japanese
11540284,English
14673560,English
9410034,English
13182756,English
6551842,Vietnamese
6551842,Yoruba
12625756,Malayalam
10810850,English
6550808,English
12856788,Telugu
12856788,Hindi
10380900,Russian
10380900,English
13559026,English
10945274,French
10589738,Spanish
10589738,French
10899402,English
7286976,English
11698662,Spanish
11599576,English
16375288,English
14623762,English
11564214,Shanghainese
11564214,Mandarin
11564214,English
11564214,Japanese
11564214,French
12851396,English
12851396,Mandarin
12851396,Portuguese
12885852,English
10715446,Japanese
10715446,English
10715446,Portuguese
4697290,Swedish
4697290,English
11840988,English
15096796,German
15096796,English
11790674,English
8984572,Hindi
14250266,English
13956548,English
14980972,Korean
11905698,English
11905698,Serbian
14833702,English
11009596,Italian
4593154,English
4593154,Greek
12929990,English
9849004,English
15331462,English
8521736,English
16492636,Japanese
11188624,English
11188624,Latin
9352356,English
9352356,American Sign Language
10366574,Spanish
9013182,English
13468436,English
11681282,French
11136276,French
11136276,Spanish
11136276,English
11348542,English
10896398,English
14996254,English
12163074,English
13172796,English
14039046,English
14039046,Spanish
14039046,Sanskrit
14901058,English
11580854,Tamil
9170516,Danish
9170516,English
9170516,German
9170516,French
14490908,English
10160974,English
11908982,English
9110904,Italian
16757252,Tagalog
16757252,Filipino
11366736,English
12546872,English
10569922,Hindi
11799110,English
3781118,Ukrainian
3781118,Russian
3781118,German
3781118,English
11384004,Telugu
7638556,English
14061008,English
8371236,English
15010590,Cantonese
15010590,English
15010590,Japanese
15010590,Mandarin
11307724,English
4439620,English
4439620,French
13774454,French
6523526,English
11448490,English
7601480,Russian
12653060,Serbian
12653060,Turkish
12653060,Albanian
14107648,English
11423828,English
11944928,English
11816092,Hindi
7050946,English
13616400,English
12861212,Hindi
6852178,English
3454424,English
6570098,English
15214870,English
13622118,English
7524444,English
1677615,English
11788956,English
10928086,Swedish
8886670,Romanian
13863334,English
9415108,English
9415108,Czech
9415108,Polish
9415108,Slovak
9415108,German
9585676,English
14635982,English
10730376,English
14490958,English
11263022,English
9568230,English
9568230,Cree
8466482,English
11260832,Hindi
7743120,English
7743120,Italian
6852672,English
10712928,English
11947282,English
14731142,English
11990460,English
4520920,English
13067292,English
16755970,Korean
9382172,English
11941800,Italian
10077034,English
7413600,English
13454228,English
11681056,Hungarian
11681056,Russian
8907992,Hindi
8907992,English
13515076,English
12885272,English
9850740,English
11151336,English
15141632,English
15141632,French
5737388,English
15566744,English
10314548,English
16088674,Tagalog
16088674,Filipino
15141288,English
11433048,English
7972012,French
7972012,Russian
7972012,German
15091284,French
13613056,French
13613056,Czech
13613056,English
9893084,English
10075650,Spanish
10075650,English
13473548,Polish
15248582,English
8760670,English
15388610,English
13529034,Hindi
11579538,Spanish
11658120,Spanish
10791152,Italian
7277234,English
14905650,English
12881516,German
10887358,English
8205028,English
8205028,French
8205028,Dutch
8205028,German
8205028,Italian
14490832,English
10243676,French
10243676,English
10243676,Polish
16162114,English
11310608,French
11734264,French
11734264,Arabic
11734264,Russian
11734264,English
11374902,Tamil
14018370,Tagalog
14018370,Filipino
13723562,Hindi
10579952,Tamil
15358226,English
10661710,English
12302540,English
14315584,Polish
13131636,Hindi
13775584,English
13775584,Irish Gaelic
13775584,French
6588950,English
9804272,English
11772600,Tamil
7598106,English
12117860,Dutch
9381682,Italian
10400028,English
10400028,Swedish
13299890,Malayalam
11328762,Danish
10661848,Tamil
10661848,Telugu
13131186,Tamil
13131186,Hindi
13131186,Telugu
14445134,English
14203864,Punjabi
9686350,English
13831504,English
14578032,English
14527836,Korean
10840042,English
13613732,English
14679136,English
10835642,Spanish
11379584,Maltese
11379584,English
17079562,English
12989912,English
14035154,Georgian
10225926,English
14599938,Korean
12058584,German
11307814,Swedish
11307814,English
13269616,Danish
14804080,English
14804080,Portuguese
11020728,English
8160794,English
10260844,English
7356476,English
14246700,Japanese
4940336,English
4940336,Russian
9471660,Spanish
10350204,English
13361442,English
16088568,Spanish
15132028,Portuguese
9815554,English
10926320,English
12483708,English
10895556,Hindi
13135852,English
15208950,English
9896876,English
13757540,Japanese
11859012,English
6981064,English
10451312,Danish
10451312,Romany
15115102,French
14500264,English
11396290,Tamil
15444704,English
15444704,German
15444704,Yiddish
15444704,Hebrew
10147580,Norwegian
9340916,English
2084952,English
14008268,English
10704342,English
11142762,Hindi
11464730,English
13975458,Japanese
14598754,Punjabi
14805128,Arabic
13045890,Turkish
11080676,German
11080676,Spanish
11080676,English
14371426,French
10773194,English
3859466,English
11935566,Greek
11935566,English
11935566,Turkish
15777864,English
8737152,Serbian
8737152,German
8737152,Romany
11217036,English
8787632,English
13462472,French
13266998,English
12351994,Indonesian
10306450,English
13983454,English
14684154,English
12299824,Swedish
15523186,Punjabi
13137576,French
11698630,Spanish
11376010,English
11204060,Danish
10696586,Arabic
10370822,Chinese
10370822,Mandarin
10370822,English
10370822,Japanese
14031338,English
14031338,Spanish
15094392,English
13103340,English
15766640,English
11053476,English
14040072,English
14876294,English
12664618,Korean
7587604,Cantonese
7587604,Mandarin
9098454,English
9572006,Russian
6703486,Mandarin
6703486,English
13161356,Turkish
15964718,Tagalog
15964718,Filipino
13926310,Italian
13626200,English
14880258,Thai
14267154,English
11641654,English
4539898,English
6964940,English
6964940,Hindi
11123012,English
15214710,English
14418234,Hindi
10572658,English
15012044,English
12223548,English
14629580,English
14629580,American Sign Language
15909848,Spanish
15909848,Brazilian Sign Language
15909848,English
10088984,French
13932162,English
13835046,English
13377488,Polish
10364272,English
11612890,English
15321376,English
10888594,Hindi
16727778,English
14361314,Italian
14361314,Spanish
14361314,French
11833710,English
13276160,Spanish
13276160,Catalan
13276160,Galician
5448338,English
13834788,Indonesian
10919240,Malayalam
14077794,French
10514056,English
11923304,Japanese
13606088,English
8786654,English
8786654,Russian
12449586,English
10934196,Serbian
10934196,Bulgarian
10934196,English
3301314,English
3301314,French
11428926,Italian
15316422,English
14324296,Italian
13269670,Mandarin
14577742,Bosnian
7530340,Georgian
7530340,Russian
7530340,Kazakh
7530340,English
8422726,Spanish
3580332,Swedish
15412176,English
13482806,English
13482806,French
13482806,Romanian
9476430,English
13605268,English
12661314,English
15041866,Hebrew
12192636,English
14892216,Cantonese
11160650,English
13003996,Italian
15943556,English
15943556,Irish Gaelic
15943556,French
15943556,Spanish
13997634,English
8415986,Spanish
8415986,French
14140954,Korean
13659918,English
14219458,English
13978006,English
13372944,English
13372944,Spanish
3910630,English
14605426,English
15339456,English
15398166,Spanish
12108622,English
14315500,Polish
14843694,English
11646342,English
10801496,English
10766468,Japanese
10766468,English
10083174,English
15716528,English
14107554,Hindi
9844322,French
7682204,English
13698928,Hindi
10313806,English
15397946,English
15397946,Latin
10166508,English
14032696,Chinese
14032696,Cantonese
14825736,English
11115706,English
13372884,English
14043818,Hebrew
10534500,Malayalam
13313408,Italian
16444610,English
10083640,Hindi
16611138,English
14383680,Romanian
14404280,Japanese
13553662,French
14091818,Hindi
11871074,Polish
13225546,Danish
3513522,English
14549712,English
13846472,French
13470094,English
13470094,Italian
13470094,Albanian
13470094,Portuguese
13470094,Spanish
13470094,Hindi
13470094,Chechen
15739902,English
15739902,Spanish
8702944,Chinese
15887102,Tagalog
15887102,Filipino
10533804,English
12624584,English
11378876,English
10042788,English
12151820,Chinese
16606348,Chinese
16606348,Shanghainese
16606348,Italian
11116374,Italian
11886384,English
11535228,Korean
10635042,Japanese
10430850,English
10430850,Spanish
13064272,Japanese
3846120,Hindi
11219254,Japanese
16043930,Mandarin
14253138,English
15285682,English
11311754,English
13924672,English
14556184,English
11448076,Mandarin
13737848,English
4586828,English
14372246,English
11002900,French
12637442,Spanish
9038678,English
12715472,French
6714432,English
9257906,English
12838276,English
13701962,English
15241706,English
13598976,Chinese
13598976,English
13598976,Mandarin
13598976,Min Nan
8129682,English
15829734,English
15829734,Italian
15214902,English
13717980,Turkish
11441458,Tamil
11441458,Malayalam
11155912,English
8345300,Malayalam
8345300,English
8345300,Kannada
8345300,Hindi
8345300,Telugu
8345300,Tamil
11610804,French
13372992,English
7466908,English
12402768,English
10483044,English
10483044,Maori
9205538,German
9205538,French
9205538,English
9205538,Arabic
9205538,Czech
16150870,English
15978102,English
13067004,Turkish
13067004,English
13345816,English
12036270,Russian
14303882,Russian
13143988,Hindi
14586176,English
15298578,English
13846372,French
16352374,English
14812782,Persian
14812782,English
13632182,English
15405222,English
10515864,Polish
13914000,Telugu
16636178,Spanish
10741542,Hindi
11912010,German
11912010,English
12269268,English
11392272,English
14525460,English
11423214,English
9077876,English
11460512,German
15360916,German
9526392,Italian
15289090,English
14895216,Korean
14477372,English
11270054,Spanish
14534992,German
15403980,English
15565510,English
14927730,English
16421260,English
11604676,Malayalam
13206926,Malayalam
13912632,Hindi
13017204,Japanese
10773626,English
11906086,French
11640536,English
13846546,French
10311018,Turkish
10311018,Kurdish
13686748,English
8400856,English
8400856,German
8957414,English
14490546,Korean
15186426,English
5693182,English
9569610,Hindi
7851428,English
14428606,Mandarin
14428606,Min Nan
13887128,Cantonese
7904172,French
7904172,Flemish
7904172,German
11093266,French
13387604,Danish
13387604,English
6540706,English
13820428,English
10545704,French
13445076,Arabic
13562940,Hindi
16275882,English
14722502,English
10342914,English
15185904,English
11591306,Malayalam
14319068,English
14319068,Polish
14319068,Russian
13528562,Japanese
12059016,English
3910154,English
10622972,Marathi
15112934,English
11771704,Turkish
14932820,English
13113298,Italian
11902024,English
15508150,English
15508150,Norwegian
15508150,Latin
16047670,English
15226096,English
15006372,English
13891338,English
14416016,English
14442328,English
12032938,Tamil
12032938,Malayalam
12032938,Telugu
12032938,Hindi
12032938,Kannada
8192134,English
13142240,French
13142240,English
12890988,English
15187842,English
13055752,English
15209000,English
15209000,French
15800558,English
11261830,English
9864800,English
16124786,English
11306926,Kannada
13942226,English
326716,English
14355860,Romanian
7868082,English
13842628,English
14776918,Korean
13656980,English
7539904,English
7539904,Spanish
12412166,English
12412166,Italian
6439792,English
15079124,Romanian
9614452,Hindi
16057434,English
13588156,English
10370042,English
13866142,Korean
13866142,English
14354100,German
10539172,English
14606600,English
14606600,French
14606600,Danish
14061328,English
12057168,Russian
7798990,English
13821562,Norwegian
13956614,English
11611486,French
13285394,French
13256256,German
14965934,Korean
11045422,Hindi
13033790,English
8674464,English
11795652,English
4546694,French
13972476,English
11873754,Bulgarian
13304948,English
10126040,English
13153754,Dutch
13153754,English
13153754,Estonian
9728962,English
14005318,English
9178190,English
11581174,Tamil
14444018,English
14444018,French
13107582,English
14059620,English
10310074,English
13282344,French
9265556,English
14035108,Korean
14494586,English
11188010,English
11207240,English
12719846,Hungarian
4181232,English
11636880,Finnish
11636880,Swedish
11636880,Serbian
11636880,English
11636880,Russian
11636880,French
11636880,Spanish
14971182,English
