imdbID,Gender,All Ages,<18,18-29,30-44,45+
11777738,Females,7.5,9.0,7.6,7.4,7.5
7737528,Females,6.3,6.6,6.3,6.3,6.3
10360772,Females,6.3,7.0,6.5,6.3,6.3
13234058,Females,6.0,,5.7,5.9,6.0
6079772,Females,6.3,6.0,6.3,6.2,6.3
8404256,Females,5.7,2.8,5.7,5.6,5.7
4028464,Females,7.0,,7.2,6.9,7.0
12676326,Females,6.8,5.6,7.0,6.7,6.8
10687506,Females,7.2,3.9,7.2,7.0,7.2
14121726,Females,6.2,,,5.3,6.2
8893974,Females,6.7,4.0,6.7,6.7,6.7
10327252,Females,5.7,4.0,5.7,5.5,5.7
9110170,Females,5.7,7.5,5.7,5.7,5.7
8368408,Females,6.5,7.5,6.3,6.5,6.5
9784798,Females,7.6,7.1,7.7,7.5,7.6
10262648,Females,7.5,7.0,7.6,7.5,7.5
9130508,Females,6.7,5.2,6.9,6.7,6.7
3661210,Females,7.3,6.4,7.2,7.1,7.3
3758814,Females,6.0,7.3,5.7,5.9,6.0
13029044,Females,5.1,7.0,5.2,5.1,5.1
9357050,Females,7.0,4.6,6.8,6.9,7.0
10155932,Females,5.3,4.3,4.9,5.2,5.3
13207508,Females,7.1,10.0,6.9,7.1,7.1
6802400,Females,5.8,3.6,5.6,5.7,5.8
7069210,Females,6.5,7.0,6.5,6.4,6.5
6060964,Females,7.5,,7.5,7.4,7.5
10342730,Females,5.4,4.4,5.4,5.3,5.4
6902332,Females,5.8,1.0,5.7,5.6,5.8
6217926,Females,6.2,5.7,6.5,6.2,6.2
13649036,Females,8.0,4.0,7.9,7.9,8.0
13349716,Females,7.7,,7.7,7.8,7.7
10763820,Females,5.6,2.8,5.4,5.5,5.6
0499097,Females,6.0,7.0,5.9,5.8,6.0
11628854,Females,5.9,3.0,6.1,5.9,5.9
1893273,Females,6.9,7.5,6.9,6.8,6.9
3876910,Females,5.6,,5.2,5.5,5.6
5078852,Females,6.2,6.0,5.7,6.1,6.2
10228134,Females,5.8,4.3,5.6,5.6,5.8
6338498,Females,7.1,7.6,6.9,7.1,7.1
4590256,Females,4.7,1.7,4.4,4.7,4.7
12825632,Females,5.9,,5.0,6.3,5.9
9742794,Females,6.6,6.5,6.6,6.5,6.6
14199590,Females,5.4,,4.8,5.3,5.4
8114980,Females,5.7,5.5,5.9,5.7,5.7
5563324,Females,5.3,10.0,5.3,5.3,5.3
9664108,Females,5.4,4.8,5.4,5.3,5.4
13575806,Females,7.0,7.5,7.0,6.9,7.0
10752004,Females,6.4,4.4,6.3,6.3,6.4
11832046,Females,6.7,5.0,6.8,6.6,6.7
10341034,Females,7.4,8.0,7.8,7.4,7.4
6385680,Females,3.3,,2.0,3.3,3.3
10691162,Females,5.4,8.7,5.3,5.3,5.4
2452150,Females,6.9,8.0,6.9,6.7,6.9
13109952,Females,6.8,,6.9,6.8,6.8
4876134,Females,4.7,5.5,4.3,4.7,4.7
10515988,Females,5.3,5.0,5.3,5.2,5.3
