imdbID,genres
13207508,Romance
13207508,Sci-Fi
6802400,Comedy
7069210,Horror
7069210,Mystery
7069210,Thriller
6060964,Biography
6060964,Drama
10342730,Crime
10342730,Drama
10342730,Horror
6902332,Action
6902332,Adventure
6902332,Drama
6217926,Drama
6217926,Musical
6217926,Romance
13649036,Drama
13349716,Drama
13349716,Romance
10763820,Action
10763820,Crime
10763820,Drama
499097,Action
499097,Thriller
499097,War
11628854,Comedy
11628854,Drama
1893273,Drama
1893273,Romance
3876910,Action
3876910,Thriller
5078852,Biography
5078852,Crime
5078852,Drama
10228134,Action
10228134,Comedy
10228134,Crime
6338498,Animation
6338498,Adventure
6338498,Comedy
4590256,Comedy
4590256,Romance
12825632,Adventure
12825632,Crime
12825632,Mystery
9742794,Action
9742794,Adventure
9742794,Thriller
14199590,Action
14199590,Thriller
8114980,Action
8114980,Comedy
8114980,Horror
5563324,Drama
5563324,Thriller
9664108,Adventure
9664108,Sci-Fi
9664108,Thriller
13575806,Animation
13575806,Adventure
13575806,Comedy
10752004,Comedy
10752004,Romance
11832046,Animation
11832046,Action
11832046,Adventure
10341034,Drama
10341034,Mystery
10341034,Thriller
6385680,Sci-Fi
10691162,Drama
10691162,Horror
10691162,Mystery
2452150,Biography
2452150,Drama
2452150,Music
13109952,Action
13109952,Comedy
13109952,Horror
4876134,Action
4876134,Adventure
4876134,Thriller
10515988,Horror
10515988,Mystery
10515988,Thriller
10329614,Horror
10329614,Mystery
3797512,Comedy
7518786,Biography
7518786,Drama
7518786,History
8633464,Drama
8633464,Sci-Fi
13269536,Crime
13269536,Thriller
6566576,Drama
6566576,Horror
6566576,Mystery
13133936,Thriller
5012504,Animation
5012504,Action
5012504,Adventure
9373688,Drama
9373688,Sci-Fi
9373688,Thriller
13438734,Drama
13438734,Romance
12229370,Drama
12229370,Romance
10601552,Horror
10601552,Thriller
11121664,Drama
1361336,Animation
1361336,Adventure
1361336,Comedy
13446168,Horror
2231874,Drama
2231874,Mystery
2231874,Thriller
6932874,Animation
6932874,Adventure
6932874,Comedy
13056008,Drama
13056008,Horror
13056008,Mystery
13204490,Drama
13204490,Fantasy
10962368,Drama
10962368,Horror
10962368,Mystery
10731768,Action
10731768,Drama
10731768,Thriller
11804152,Thriller
7268738,Action
7268738,Adventure
7268738,Comedy
9054192,Comedy
9054192,Crime
14577300,Action
14577300,Thriller
3626476,Adventure
3626476,Comedy
11080108,Comedy
11080108,Fantasy
11080108,Romance
13087796,Comedy
13087796,Drama
13087796,Romance
13265876,Action
13265876,Thriller
9274670,Action
9274670,Drama
9274670,Thriller
10362566,Drama
10362566,Horror
13788842,Adventure
13788842,Sci-Fi
11125620,Animation
11125620,Adventure
11125620,Comedy
14034966,Drama
14034966,Romance
14265992,Drama
14265992,Horror
14265992,Thriller
9203694,Adventure
9203694,Sci-Fi
9203694,Thriller
8399288,Drama
8399288,Sci-Fi
1879016,Drama
1879016,War
11656220,Action
11656220,Crime
11656220,Thriller
6372694,Action
6372694,Fantasy
6372694,Sci-Fi
16492678,Animation
16492678,Action
16492678,Fantasy
9766332,Comedy
9766332,Drama
9766332,Romance
7099280,Drama
7099280,Fantasy
7099280,Romance
11892272,Action
11892272,Adventure
11892272,Crime
14775784,Drama
14033502,Comedy
14033502,Drama
13724054,Drama
13724054,Sci-Fi
13724054,Thriller
13694628,Drama
13694628,Thriller
9789042,Comedy
9789042,Drama
9789042,Thriller
8545482,Sci-Fi
8545482,Thriller
9664948,Horror
10719958,Crime
10719958,Thriller
12383460,Mystery
12383460,Thriller
14405338,Horror
14405338,Mystery
14405338,Thriller
10698174,Drama
10698174,Mystery
10698174,Thriller
12783454,Comedy
12783454,Romance
10503736,Drama
10503736,Horror
10503736,Mystery
7084386,Adventure
7084386,Biography
7084386,Drama
13872248,Horror
4479380,Action
4479380,Thriller
14821150,Drama
6910282,Drama
10418662,Action
10418662,Adventure
10418662,Drama
12861850,Comedy
12861850,Drama
12861850,Romance
6857376,Drama
8956324,Sci-Fi
8956324,Thriller
8165192,Action
8165192,Adventure
8165192,Crime
12800524,Drama
12800524,Sci-Fi
12800524,Thriller
13061914,Comedy
13061914,Crime
13061914,Romance
13880104,Drama
11738830,Comedy
11738830,Horror
11738830,Thriller
13496236,Action
